avg_aot,aot,B1,B2,B3,B4,B5,B7,ndvi,arvi
0.1,0.1,93.668,76.878,62.93,157.861,24.073,4.485,0.4299586486768029,0.6612313407312697
0.1,0.15000000000000002,95.561,78.46,64.266,158.523,24.124,4.471,0.42307744098676325,0.655644563276134
0.1,0.05,91.761,75.274,61.563,157.096,24.011,4.498,0.43690403779400805,0.6671459877640465
0.38,0.38,103.974,85.437,70.086,160.717,24.273,4.4,0.39267687161778664,0.6323489830637585
0.38,1.4300000000000002,140.373,115.386,94.459,162.955,24.196,4.026,0.26609275330790094,0.5409456264775413
0.38,0.001,89.854,73.577,60.088,155.91,23.902,4.508,0.443624478004426,0.6743631599295502
0.38,0.38,103.974,85.437,70.086,160.717,24.273,4.4,0.39267687161778664,0.6323489830637585
0.38,1.1400000000000001,130.388,107.125,87.884,162.981,24.279,4.129,0.29935224124529125,0.5644098463724018
0.38,0.001,89.854,73.577,60.088,155.91,23.902,4.508,0.443624478004426,0.6743631599295502
0.25,0.25,99.252,81.54,66.86,159.627,24.203,4.442,0.4095908374432087,0.6448337154486204
0.25,0.44,106.106,87.194,71.549,161.116,24.295,4.38,0.38496121032385616,0.6265471359056675
0.25,0.06,92.144,75.598,61.839,157.258,24.025,4.495,0.4355102990912701,0.6659392347133354
0.18,0.18,96.678,79.394,65.057,158.885,24.15,4.463,0.4189834867956881,0.6522896615554203
0.18,0.3,101.063,83.046,68.116,160.085,24.234,4.426,0.4030175152606693,0.6397615413768732
0.18,0.06,92.144,75.598,61.839,157.258,24.025,4.495,0.4355102990912701,0.6659392347133354
0.13,0.13,94.811,77.826,63.734,158.269,24.104,4.477,0.4258275789065913,0.6579093470768781
0.13,0.21000000000000002,97.786,80.32,65.835,159.219,24.175,4.454,0.41494041430056794,0.6490577567412211
0.13,0.05,91.761,75.274,61.563,157.096,24.011,4.498,0.43690403779400805,0.6671459877640465
0.1,0.1,93.668,76.878,62.93,157.861,24.073,4.485,0.4299586486768029,0.6612313407312697
0.1,0.17,96.306,79.084,64.795,158.769,24.142,4.466,0.42034495714873593,0.653387346201309
0.1,0.03,90.991,74.619,61.005,156.752,23.982,4.502,0.4396965424762465,0.669608192958444
